ra,dec
286.47147,49.649021
286.47147,49.649021
292.02045,44.876221
297.35928,49.79755
291.83432,39.307362
291.83432,39.307362
291.83432,39.307362
288.57443,40.988659
292.13297,41.547539
287.36127,43.738781
300.41751,45.605518
292.49963,46.324409
292.49963,46.324409
290.97342,45.290321
290.97342,45.290321
290.97342,45.290321
285.38742,45.049049
295.79218,47.600101
289.83542,49.82563
289.83542,49.82563
289.83542,49.82563
285.60254,50.112041
297.59366,40.977268
286.28601,43.320461
295.75412,42.537479
295.90656,45.80912
286.40231,38.738541
293.68192,45.817558
289.93085,40.097752
298.62488,48.57745
295.94641,42.65892
292.5878,38.52203
294.64816,46.392361
285.75146,41.33564
294.32553,46.002251
294.32553,46.002251
294.32553,46.002251
288.3725,47.933559
289.62524,40.708729
296.54752,44.941929
286.66296,47.4137
282.85992,42.66576
294.08392,42.809589
283.84515,44.609089
286.11536,37.966999
295.22879,45.97102
295.22879,45.97102
285.75146,41.33564
290.97934,47.988998
293.19537,49.316502
293.05801,45.248821
292.04437,46.329029
284.09457,41.182819
295.8287,43.425491
290.16525,49.923859
299.25031,43.410439
293.09253,41.355518
292.28607,40.913589
295.30753,38.881641
292.28607,40.913589
287.14066,47.115189
287.14066,47.115189
288.0119,46.117611
288.0119,46.117611
289.04221,42.882488
295.18164,49.945782
291.71146,42.341499
287.59009,51.06057
291.22433,45.778091
291.03363,42.26786
285.93069,39.098141
293.20059,43.050041
285.01309,40.220749
290.54855,38.495281
290.54855,38.495281
291.5162,42.248192
287.14066,47.115189
289.19263,44.149319
297.40155,46.824001
289.29626,46.457951
290.24805,44.435242
298.49329,47.013039
280.92612,44.087929
298.97217,44.132381
298.3266,45.31551
285.79947,42.811779
285.79947,42.811779
295.94641,42.65892
292.42108,37.682819
286.71072,43.043449
300.37128,46.408279
294.61301,45.060169
289.2489,47.650101
288.41769,46.590431
296.06433,45.428619
290.23764,41.331379
288.79303,48.04023
290.23764,41.331379
290.23764,41.331379
283.11377,48.13139
293.88177,49.683151
289.19958,49.305721
288.66891,39.824009
281.66299,47.568581
292.42108,37.682819
294.15271,38.23304
289.06433,47.11742
284.47653,46.252579
287.50116,47.469269
287.13058,42.350151
285.10406,45.008171
296.95886,46.394131
292.0134,49.019119
291.53439,47.0425
285.12204,44.1106
292.75732,43.42691
294.61365,45.984619
283.46936,40.13261
293.14447,46.666241
299.21317,41.424831
284.18329,45.0741
297.02109,41.377171
296.75574,46.998291
292.59164,38.399658
299.5495,45.769749
296.46448,49.182907
289.44452,41.31776
290.14432,44.04995
291.55695,39.227291
291.55695,39.227291
291.55695,39.227291
293.6792,46.85276
288.79303,48.04023
283.80954,41.041241
290.06049,47.16396
288.64627,50.788979
281.89835,42.165791
287.34674,47.772961
282.92499,48.626389
289.34143,46.988239
287.95657,41.130329
287.73755,38.114559
286.11032,43.680962
293.09399,42.896431
285.66711,48.719559
289.43811,39.270359
290.06049,47.16396
282.97897,40.784351
282.97897,40.784351
282.97897,40.784351
282.97897,40.784351
293.35172,48.444641
282.92499,48.626389
299.21317,41.424831
295.15811,40.898849
285.37195,41.993912
294.51324,45.98164
295.85938,47.93951
289.41107,46.130852
292.64236,44.087669
292.64236,44.087669
292.64236,44.087669
290.7084,42.237251
293.35172,48.444641
293.35172,48.444641
295.93347,40.300571
283.59668,45.407879
297.25504,40.54837
295.34271,46.602261
291.41864,39.127419
290.60114,44.556381
285.26859,48.560009
288.47144,40.269791
292.53082,49.06171
281.58292,47.233631
285.25366,46.582191
298.39526,47.81501
295.8093,40.008511
283.71753,47.204449
292.67255,46.377419
295.2049,42.559681
290.48676,44.932621
299.526,46.899261
297.45215,41.558128
294.86551,46.285851
294.59579,45.875031
288.81195,39.77066
290.83313,38.184349
288.81195,39.77066
288.81195,39.77066
299.26804,45.227428
299.26804,45.227428
297.9382,46.881401
297.09067,49.626572
284.4303,47.641781
289.35202,46.973728
286.00674,38.009541
290.32867,37.72311
289.22021,41.706478
293.67648,44.615582
293.67648,44.615582
297.95416,44.66748
286.02518,39.630932
294.74332,43.461208
294.45386,44.145973
294.45386,44.145973
287.25668,46.066769
286.22324,38.258171
292.61411,44.394661
289.07224,47.40707
300.10236,45.762138
289.02975,49.769711
285.41962,39.706108
285.41962,39.706108
285.41962,39.706108
296.23001,50.27523
292.17117,40.811378
281.45718,46.746471
282.03549,43.631271
295.31314,46.237492
284.61572,39.131039
291.91281,41.533611
289.23337,49.938931
291.95099,38.251701
289.86157,43.472771
289.86157,43.472771
289.86157,43.472771
286.4527,42.657879
286.4527,42.657879
299.89651,46.051971
299.89651,46.051971
283.89941,41.221611
281.34882,44.295238
281.34882,44.295238
297.94016,40.278629
291.38223,38.127468
291.38223,38.127468
296.75415,49.20874
299.66046,46.198421
286.68552,47.098221
286.27386,48.61871
286.27386,48.61871
285.21667,41.282429
292.23395,41.575211
294.26633,45.204311
287.87939,43.364071
284.3511,40.852982
292.36957,43.910809
291.66928,42.59071
297.20154,41.730209
294.70938,45.969501
281.59415,42.596409
295.50269,43.232792
286.16205,39.678001
288.74994,48.277168
297.29242,49.981628
297.29242,49.981628
300.24222,44.141399
300.24222,44.141399
299.07709,45.440639
283.29214,45.434109
300.1705,43.98497
290.23584,50.03009
287.52963,38.894508
288.83401,44.838249
293.72586,47.24704
296.60342,44.129261
291.87134,44.087379
293.90057,50.427052
294.56937,45.671261
281.32257,48.066502
287.38208,49.452389
291.88004,45.387932
286.36746,48.423931
293.67422,47.908459
293.67422,47.908459
290.35815,44.518749
286.97128,44.708302
290.34851,50.902851
294.61481,40.833172
292.29062,44.653252
292.77338,44.178131
289.4415,42.498131
290.27969,41.515049
294.46854,49.33102
286.28473,44.781551
286.28473,44.781551
293.82431,42.779701
286.16205,39.678001
293.32242,42.86747
301.34286,44.672211
295.56799,42.478298
292.17114,40.916309
292.17114,40.916309
298.30273,47.694031
287.2977,47.455441
294.91156,46.491459
291.08014,43.860199
292.42758,37.320808
285.1828,43.831078
285.1828,43.831078
285.1828,43.831078
293.82431,42.779701
281.11176,42.45491
294.15332,46.166439
291.1452,44.062538
286.47934,39.269958
286.00296,44.756592
285.08655,40.898998
292.16858,43.779671
295.10995,43.915211
294.95892,38.591572
291.60718,38.410389
291.60718,38.410389
295.1391,40.979061
286.75278,49.064911
295.30255,49.589119
291.88126,44.555729
291.04993,39.14167
297.07465,39.933849
296.04233,45.985142
291.64624,39.396629
301.54297,44.60561
291.11188,39.949108
284.10779,44.245811
292.32645,38.657581
291.2562,49.258949
285.89923,48.307301
295.422,38.735691
295.422,38.735691
290.47452,37.766602
293.1311,45.663551
281.83145,42.298908
292.83215,48.21936
285.72079,40.85696
286.75278,49.064911
292.46429,45.968288
291.80801,38.6227
287.94562,39.230572
291.54941,44.52729
281.69397,46.946449
289.1427,46.812889
297.91974,45.274158
288.66449,51.498421
295.93842,49.791142
295.06424,49.35899
295.46338,45.81274
291.7262,37.5289
296.96881,47.751492
296.69727,46.371712
285.67288,44.11673
290.54364,47.725887
291.11188,39.949108
292.71445,44.082329
287.30283,39.289688
290.04327,47.25798
294.94858,46.438641
295.70111,38.945831
296.85101,50.698929
282.03329,44.478008
299.85184,43.732182
292.80865,49.579441
287.5849,49.154789
290.87137,45.410301
289.40671,39.33884
296.80344,46.74115
299.23694,45.834702
295.30817,43.044411
286.71661,47.425629
287.29251,39.383221
298.45013,44.284012
286.67145,49.406288
295.95135,43.852051
296.85342,50.03735
289.48581,50.94416
299.13617,45.86993
299.13617,45.86993
294.99176,40.144409
291.93365,44.115501
292.08478,49.23748
299.96567,44.160889
297.01913,44.327518
289.388,50.59705
289.388,50.59705
291.11188,39.949108
290.26535,40.548649
294.13791,42.370499
284.32852,40.568909
296.56006,46.857479
284.09763,47.810638
295.88751,43.156059
289.35867,50.59848
291.2431,44.00872
291.2431,44.00872
291.2431,44.00872
290.91449,42.286579
291.77164,47.5299
291.6409,41.241039
283.19208,41.305389
283.19208,41.305389
294.13791,42.370499
294.13791,42.370499
292.54752,41.64296
290.95355,45.719528
289.74731,39.523453
296.30795,43.82135
296.71274,48.272308
285.93069,39.098141
283.16196,45.198311
290.10196,48.251141
287.47763,46.141178
295.25116,45.842972
283.19208,41.305389
297.78659,47.88612
289.84286,38.309601
288.28052,46.3409
294.18927,45.151581
296.72449,49.532711
291.11188,39.949108
296.99863,42.78196
292.23242,38.89222
291.28207,46.965988
294.52545,49.872471
294.97882,46.00565
293.23022,48.281368
293.23022,48.281368
294.56693,46.075802
281.56995,47.398689
281.56995,47.398689
288.30869,51.478291
294.51767,50.670399
286.59427,37.891258
292.2478,47.878448
293.98358,39.57288
291.81302,38.088181
288.47964,47.101768
286.892,38.31855
297.28549,41.305592
283.10385,43.148041
296.99863,42.78196
284.49033,42.648289
287.89163,39.33913
294.84003,39.085991
288.96124,42.265011
288.96124,42.265011
297.65143,40.352551
295.48123,40.731979
285.69199,45.689388
288.61792,48.098412
288.61792,48.098412
289.97934,40.14283
291.11188,39.949108
290.43402,44.107651
298.42633,47.946781
284.99963,49.47998
283.75482,45.335178
296.70724,41.203651
288.96124,42.265011
281.56146,42.4505
291.09274,49.19006
291.91287,40.953892
293.29364,42.19635
295.62659,49.130428
293.21738,42.720711
290.76587,38.927959
293.06335,39.40345
291.60449,41.309361
298.08453,40.283249
289.14722,45.86618
297.47711,39.877239
288.82059,39.52282
288.92401,46.057629
292.51398,42.65176
291.65778,48.009312
282.14056,43.89658
292.76993,48.89962
297.20154,41.730209
293.29364,42.19635
287.89163,39.33913
295.66287,44.525841
299.78546,43.67075
296.85205,49.084438
296.85205,49.084438
285.20749,45.38435
285.20749,45.38435
283.12103,43.525639
292.23993,48.51157
288.14478,51.27562
292.25247,40.792721
282.39462,48.75914
282.39462,48.75914
291.69955,38.145271
300.61969,45.788921
297.72314,47.112659
284.978,41.420158
292.30124,38.26704
293.26245,41.36512
285.20749,45.38435
295.65149,49.261292
295.164,39.201408
287.85699,40.54718
295.10242,40.572392
285.57434,49.962269
286.15015,37.411369
289.03302,40.086891
289.68671,41.588928
296.55307,46.96629
286.6384,39.487881
280.31488,43.98571
291.34259,38.363129
283.8851,47.637218
285.17334,48.770039
295.23926,42.726479
284.94098,46.56654
291.60675,42.035919
282.95694,42.825619
293.94116,41.5905
291.34259,38.363129
286.02612,44.782871
286.02612,44.782871
292.31512,40.838821
288.20764,45.683479
284.9986,50.14679
291.4743,44.68351
292.6904,37.93457
292.90161,38.297081
296.07568,45.62706
288.09564,40.365971
293.57394,45.384541
292.87289,41.06427
286.60416,42.440319
